Longitude (deg),Latitude (deg),Eastward wind (m/s)
116,251,37.759
116,252,40.033
116,253,42.377
116,254,44.595
116,255,46.47
116,256,48.08
116,257,49.455
116,258,50.783
116,259,52.111
116,260,53.252
116,261,54.111
116,262,54.939
116,263,55.517
116,264,56.033
116,265,56.533
116,266,56.83
116,267,57.345
116,268,57.314
116,269,56.47
116,270,55.361
116,271,54.158
116,272,53.252
116,273,51.783
116,274,50.595
116,275,50.267
116,276,51.377
116,277,52.22
116,278,52.486
116,279,49.439
116,280,44.705
116,281,42.72
117,231,-4.8813
117,232,-3.3227
117,233,-1.5415
117,234,0.32182
117,235,2.1089
117,236,3.8648
117,237,5.7622
117,238,7.8953
117,239,10.501
117,240,13.476
117,241,16.25
117,242,18.627
117,243,20.834
117,244,22.959
117,245,24.923
117,246,26.603
117,247,28.275
117,248,30.462
117,249,32.853
117,250,35.056
117,251,37.314
117,252,39.595
117,253,41.97
117,254,44.33
117,255,46.017
117,256,47.22
117,257,48.783
117,258,50.548
117,259,51.877
117,260,52.83
117,261,53.455
117,262,54.189
117,263,54.595
117,264,55.017
117,265,55.861
117,266,56.877
117,267,57.642
117,268,57.861
117,269,57.486
117,270,55.423
117,271,55.033
117,272,54.423
117,273,53.205
117,274,52.127
117,275,51.923
117,276,52.923
117,277,53.861
117,278,53.97
117,279,50.017
117,280,44.986
117,281,43.33
118,231,-4.2836
118,232,-2.4633
118,233,-0.44381
118,234,1.5132
118,235,3.1929
118,236,4.564
118,237,5.982
118,238,7.8526
118,239,10.415
118,240,13.351
118,241,16.058
118,242,18.365
118,243,20.408
118,244,22.412
118,245,24.287
118,246,25.931
118,247,27.666
118,248,29.853
118,249,32.252
118,250,34.423
118,251,36.595
118,252,38.806
118,253,40.908
118,254,42.986
118,255,44.47
118,256,45.22
118,257,46.861
118,258,49.517
118,259,51.392
118,260,52.267
118,261,52.736
118,262,53.252
118,263,53.658
118,264,54.205
118,265,54.986
118,266,55.845
118,267,56.486
118,268,56.908
118,269,56.861
118,270,57.002
118,271,56.955
118,272,55.627
118,273,54.705
118,274,53.83
118,275,53.392
118,276,54.127
118,277,55.345
118,278,55.064
118,279,50.142
118,280,45.236
118,281,43.705
119,231,-3.686
119,232,-1.5766
119,233,0.57963
119,234,2.605
119,235,4.1675
119,236,5.272
119,237,6.3384
119,238,7.9173
119,239,10.265
119,240,13.072
119,241,15.873
119,242,18.369
119,243,20.404
119,244,22.099
119,245,23.666
119,246,25.197
119,247,27.087
119,248,29.65
119,249,32.166
119,250,34.486
119,251,36.697
119,252,38.712
119,253,40.861
119,254,42.97
119,255,44.439
119,256,44.955
119,257,45.877
119,258,47.705
119,259,49.595
119,260,50.923
119,261,51.314
119,262,51.345
119,263,51.72
119,264,52.502
119,265,53.517
119,266,54.455
119,267,55.064
119,268,55.439
119,269,56.267
119,270,56.752
119,271,56.908
119,272,56.408
119,273,55.955
119,274,55.408
119,275,55.033
119,276,55.611
119,277,57.033
119,278,55.658
119,279,49.658
119,280,45.236
119,281,43.845
120,231,-3.0258
120,232,-0.58052
120,233,1.5777
120,234,3.4917
120,235,4.9097
120,236,5.7828
120,237,6.6539
120,238,8.0459
120,239,10.122
120,240,12.662
120,241,15.443
120,242,18.197
120,243,20.49
120,244,22.236
120,245,23.732
120,246,25.275
120,247,27.197
120,248,29.627
120,249,32.103
120,250,34.392
120,251,36.619
120,252,38.689
120,253,40.689
120,254,42.533
120,255,43.892
120,256,44.767
120,257,45.595
120,258,46.877
120,259,47.955
120,260,48.908
120,261,49.986
120,262,50.314
120,263,50.439
120,264,51.017
120,265,51.877
120,266,52.939
120,267,54.455
120,268,55.486
120,269,56.408
120,270,57.189
120,271,57.423
120,272,57.111
120,273,56.955
120,274,56.736
120,275,56.345
120,276,57.111
120,277,58.423
120,278,55.595
120,279,48.861
120,280,45.173
120,281,44.048
121,231,-2.2876
121,232,0.29057
121,233,2.4585
121,234,4.1695
121,235,5.3941
121,236,6.1177
121,237,6.8809
121,238,8.1963
121,239,10.11
121,240,12.425
121,241,15.062
121,242,17.877
121,243,20.447
121,244,22.392
121,245,23.877
121,246,25.439
121,247,27.502
121,248,29.853
121,249,32.252
121,250,34.658
121,251,36.986
121,252,39.033
121,253,40.814
121,254,42.689
121,255,44.033
121,256,45.002
121,257,46.158
121,258,47.517
121,259,48.814
121,260,49.72
121,261,50.283
121,262,50.673
121,263,50.861
121,264,51.064
121,265,51.752
121,266,52.752
121,267,54.095
121,268,55.533
121,269,56.58
121,270,57.142
121,271,57.439
121,272,57.455
121,273,57.736
121,274,57.923
121,275,57.877
121,276,58.845
121,277,59.017
121,278,54.158
121,279,47.658
