Longitude (deg),Latitude (deg),Eastward wind (m/s)
137,236,10.971
137,237,12.832
137,238,14.472
137,239,16.035
137,240,17.587
137,241,19.142
137,242,20.712
137,243,22.232
137,244,23.681
137,245,25.134
137,246,26.65
137,247,28.252
137,248,29.861
137,249,31.384
137,250,32.814
137,251,34.22
137,252,35.502
137,253,36.939
137,254,38.572
137,255,40.166
137,256,41.814
137,257,43.673
137,258,45.689
137,259,47.689
137,260,49.611
137,261,51.798
137,262,54.267
137,263,56.752
137,264,59.298
137,265,61.877
137,266,63.689
137,267,63.595
137,268,60.767
137,269,56.892
137,270,53.267
137,271,49.173
137,272,44.048
137,273,37.291
137,274,31.4
137,275,27.931
137,276,26.283
137,277,25.408
137,278,24.459
137,279,23.08
137,280,21.509
137,281,20.087
138,231,-6.7016
138,232,-2.3579
138,233,1.2359
138,234,4.1382
138,235,7.0904
138,236,10.012
138,237,12.538
138,238,14.693
138,239,16.556
138,240,18.248
138,241,19.861
138,242,21.443
138,243,22.935
138,244,24.31
138,245,25.689
138,246,27.119
138,247,28.634
138,248,30.205
138,249,31.705
138,250,33.15
138,251,34.728
138,252,36.22
138,253,37.798
138,254,39.587
138,255,41.314
138,256,43.111
138,257,45.048
138,258,47.064
138,259,49.002
138,260,51.002
138,261,53.33
138,262,55.752
138,263,58.298
138,264,60.923
138,265,62.627
138,266,62.627
138,267,60.548
138,268,57.08
138,269,53.798
138,270,49.814
138,271,44.048
138,272,37.673
138,273,31.72
138,274,28.33
138,275,26.798
138,276,25.775
138,277,24.791
138,278,23.533
138,279,22.091
138,280,20.732
138,281,19.564
139,231,-10.303
139,232,-5.9165
139,233,-1.3461
139,234,2.2085
139,235,5.2515
139,236,8.4975
139,237,11.543
139,238,14.209
139,239,16.599
139,240,18.712
139,241,20.599
139,242,22.294
139,243,23.779
